日期,星期,最高气温,最低气温,天气,风向
2021-01-01,星期五,1,-13,晴,东风 1级
2021-01-02,星期六,0,-10,晴,东北风 2级
2021-01-03,星期日,-1,-9,多云,东南风 1级
2021-01-04,星期一,1,-11,晴,东北风 2级
2021-01-05,星期二,-2,-10,晴,西南风 2级
2021-01-06,星期三,-3,-19,晴,西北风 5级
2021-01-07,星期四,-6,-15,晴,西南风 2级
2021-01-08,星期五,-3,-14,晴,西南风 2级
2021-01-09,星期六,2,-11,晴,西北风 2级
2021-01-10,星期日,2,-10,多云,北风 1级
2021-01-11,星期一,2,-10,多云,西南风2级
2021-01-12,星期二,7,-7,晴,西南风2级
2021-01-13,星期三,9,-7,霾,东风2级
2021-01-14,星期四,2,-6,晴,东北风3级
2021-01-15,星期五,3,-9,晴,东北风2级
2021-01-16,星期六,1,-9,晴,东风1级
2021-01-17,星期日,4,-9,晴,西南风2级
2021-01-18,星期一,5,-9,晴,东南风2级
2021-01-19,星期二,-2,-9,晴,东北风3级
2021-01-20,星期三,0,-8,多云,东北风1级
2021-01-21,星期四,4,-5,晴,西南风1级
2021-01-22,星期五,5,-6,多云,东风2级
2021-01-23,星期六,4,-7,晴,西南风2级
2021-01-24,星期日,4,-5,阴,东北风1级
2021-01-25,星期一,1,-7,霾,南风1级
2021-01-26,星期二,3,-7,晴,南风2级
2021-01-27,星期三,4,-9,晴,东北风2级
2021-01-28,星期四,0,-10,晴,北风3级
2021-01-29,星期五,1,-8,晴,东北风2级
2021-01-30,星期六,7,-8,晴,东风2级
2021-01-31,星期日,0,-6,晴,东北风2级
2021-02-01,星期一,4,-11,晴,北风 4级
2021-02-02,星期二,0,-9,晴,西南风 2级
2021-02-03,星期三,7,-7,晴,北风 2级
2021-02-04,星期四,11,-3,晴,西南风 3级
2021-02-05,星期五,17,-2,晴,西风 2级
2021-02-06,星期六,16,-5,晴,北风 2级
2021-02-07,星期日,7,-6,晴,东风 2级
2021-02-08,星期一,9,-5,晴,西南风 1级
2021-02-09,星期二,9,-4,晴,西风 1级
2021-02-10,星期三,14,-5,晴,南风 1级
2021-02-11,星期四,11,-2,霾,北风2级
2021-02-12,星期五,14,-1,霾,东北风2级
2021-02-13,星期六,7,1,霾,东北风2级
2021-02-14,星期日,3,-7,阴,东北风2级
2021-02-15,星期一,7,-4,多云,西南风3级
2021-02-16,星期二,3,-10,晴,北风5级
2021-02-17,星期三,2,-6,晴,西北风2级
2021-02-18,星期四,8,-4,晴,西风1级
2021-02-19,星期五,18,0,晴,北风1级
2021-02-20,星期六,22,0,晴,西南风2级
2021-02-21,星期日,24,2,晴,东北风1级
2021-02-22,星期一,12,-3,多云,东风3级
2021-02-23,星期二,3,-3,阴,东南风2级
2021-02-24,星期三,4,-2,多云,东风1级
2021-02-25,星期四,9,-3,晴,东北风2级
2021-02-26,星期五,11,-3,霾,南风2级
2021-02-27,星期六,11,1,阴,南风2级
2021-02-28,星期日,4,-1,小雪,东北风2级
2021-03-01,星期一,2,-5,晴,东风 3级
2021-03-02,星期二,3,-2,晴,南风 2级
2021-03-03,星期三,4,2,晴,东北风 2级
2021-03-04,星期四,10,2,霾,东北风 2级
2021-03-05,星期五,10,-2,阴,东北风 3级
2021-03-06,星期六,3,-4,晴,东南风 2级
2021-03-07,星期日,8,-3,晴,西南风 2级
2021-03-08,星期一,10,0,晴,西南风 2级
2021-03-09,星期二,14,3,霾,东北风 2级
2021-03-10,星期三,16,8,霾,西南风 3级
2021-03-11,星期四,17,6,多云,南风3级
2021-03-12,星期五,11,6,霾,南风3级
2021-03-13,星期六,14,3,多云,南风1级
2021-03-14,星期日,14,8,多云,西南风2级
2021-03-15,星期一,14,0,晴,北风3级
2021-03-16,星期二,14,5,霾,东风2级
2021-03-17,星期三,12,5,阴,东南风2级
2021-03-18,星期四,8,2,多云,东南风2级
2021-03-19,星期五,9,-4,阴,南风2级
2021-03-20,星期六,14,2,晴,西北风3级
2021-03-21,星期日,12,3,晴,西北风3级
2021-03-22,星期一,19,3,晴,西南风3级
2021-03-23,星期二,23,6,晴,西南风2级
2021-03-24,星期三,20,5,晴,东北风3级
2021-03-25,星期四,21,9,阴,西南风3级
2021-03-26,星期五,14,8,多云,南风2级
2021-03-27,星期六,17,9,晴,南风2级
2021-03-28,星期日,20,7,晴,西北风3级
2021-03-29,星期一,18,4,晴,西风3级
2021-03-30,星期二,21,8,晴,西南风3级
2021-03-31,星期三,24,10,晴,东北风2级
2021-04-01,星期四,19,11,阴,东北风 2级
2021-04-02,星期五,16,10,小雨,东风 2级
2021-04-03,星期六,18,6,阴,东北风 3级
2021-04-04,星期日,19,8,晴,西南风 2级
2021-04-05,星期一,18,7,阴,西南风 3级
2021-04-06,星期二,21,7,晴,南风 2级
2021-04-07,星期三,19,5,晴,东风 3级
2021-04-08,星期四,19,6,多云,南风 2级
2021-04-09,星期五,18,8,晴,东北风 3级
2021-04-10,星期六,19,11,阴,南风 3级
2021-04-11,星期日,19,10,阴,南风3级
2021-04-12,星期一,17,5,多云,北风3级
2021-04-13,星期二,15,3,晴,西风3级
2021-04-14,星期三,21,10,晴,西南风3级
2021-04-15,星期四,22,7,晴,西风4级
2021-04-16,星期五,17,6,晴,西北风3级
2021-04-17,星期六,19,7,晴,西北风3级
2021-04-18,星期日,25,10,晴,西南风3级
2021-04-19,星期一,26,14,多云,南风2级
2021-04-20,星期二,26,13,多云,南风3级
2021-04-21,星期三,20,12,阴,西南风2级
2021-04-22,星期四,16,8,晴,东风3级
2021-04-23,星期五,21,12,多云,东风3级
2021-04-24,星期六,18,13,阴,东风3级
2021-04-25,星期日,20,11,多云,西南风2级
2021-04-26,星期一,21,11,多云,南风3级
2021-04-27,星期二,24,9,晴,西北风3级
2021-04-28,星期三,22,9,多云,西南风2级
2021-04-29,星期四,19,8,多云,西北风3级
2021-04-30,星期五,19,8,晴,东北风2级
2021-05-01,星期六,21,7,晴,北风 3级
2021-05-02,星期日,20,12,多云,西南风 3级
2021-05-03,星期一,24,10,多云,南风 3级
2021-05-04,星期二,23,10,晴,西北风 4级
2021-05-05,星期三,28,12,多云,西南风 3级
2021-05-06,星期四,29,13,晴转霾,西风 4级
2021-05-07,星期五,27,14,晴,西风 3级
2021-05-08,星期六,27,12,多云,北风 4级
2021-05-09,星期日,26,13,多云,东南风 3级
2021-05-10,星期一,24,13,多云,东风 3级
2021-05-11,星期二,24,13,阴,南风2级
2021-05-12,星期三,26,14,晴,东风2级
2021-05-13,星期四,23,16,多云,东风3级
2021-05-14,星期五,27,14,多云,东风2级
2021-05-15,星期六,20,12,阴,东北风3级
2021-05-16,星期日,24,13,多云,西北风3级
2021-05-17,星期一,30,13,多云,西南风3级
2021-05-18,星期二,33,18,多云,西风2级
2021-05-19,星期三,28,18,阴,西南风3级
2021-05-20,星期四,27,17,多云,南风3级
2021-05-21,星期五,29,18,多云转小雨,西南风3级
2021-05-22,星期六,32,18,阴,西南风2级
2021-05-23,星期日,25,12,晴,西北风3级
2021-05-24,星期一,27,11,多云,西北风3级
2021-05-25,星期二,29,16,多云,西风3级
2021-05-26,星期三,26,12,多云转小雨,北风3级
2021-05-27,星期四,28,15,晴转小雨,西风3级
2021-05-28,星期五,28,15,多云,西北风4级
2021-05-29,星期六,27,15,多云,东风4级
2021-05-30,星期日,27,15,晴,东南风2级
2021-05-31,星期一,25,15,小雨,东风2级
2021-06-01,星期二,27,15,多云,东风 3级
2021-06-02,星期三,26,11,多云,东北风 2级
2021-06-03,星期四,28,16,晴,西北风 3级
2021-06-04,星期五,31,16,晴,西北风 4级
2021-06-05,星期六,34,18,晴,西北风 3级
2021-06-06,星期日,32,19,阴,东风 2级
2021-06-07,星期一,27,18,阴,东北风 3级
2021-06-08,星期二,30,21,多云,东北风 2级
2021-06-09,星期三,25,18,阴,东北风 2级
2021-06-10,星期四,30,18,晴,东风 2级
2021-06-11,星期五,35,20,阴,西南风2级
2021-06-12,星期六,35,23,晴,西南风2级
2021-06-13,星期日,33,24,阴,西南风2级
2021-06-14,星期一,30,23,多云,东北风2级
2021-06-15,星期二,30,20,多云,东风3级
2021-06-16,星期三,21,19,阴,东风2级
2021-06-17,星期四,32,17,晴,西北风2级
2021-06-18,星期五,33,18,晴,西北风3级
2021-06-19,星期六,37,19,多云,西北风3级
2021-06-20,星期日,35,19,多云,西北风2级
2021-06-21,星期一,35,20,晴,东北风3级
2021-06-22,星期二,32,21,多云,东南风2级
2021-06-23,星期三,31,21,小雨,东风2级
2021-06-24,星期四,26,21,阴,东北风1级
2021-06-25,星期五,29,23,晴,南风3级
2021-06-26,星期六,29,23,多云,东北风2级
2021-06-27,星期日,33,23,晴,东风2级
2021-06-28,星期一,31,23,晴,东南风2级
2021-06-29,星期二,29,22,多云,东风2级
2021-06-30,星期三,32,20,晴,东风2级
2021-07-01,星期四,29,19,多云,西北风 3级
2021-07-02,星期五,30,22,阴,西南风 2级
2021-07-03,星期六,27,20,晴,东北风 2级
2021-07-04,星期日,32,22,晴,东南风 2级
2021-07-05,星期一,33,21,小雨到中雨,南风 2级
2021-07-06,星期二,29,22,多云,西南风 2级
2021-07-07,星期三,31,23,晴,西风 2级
2021-07-08,星期四,33,24,晴,西北风 2级
2021-07-09,星期五,32,23,晴,东北风 2级
2021-07-10,星期六,33,23,阴到小雨,北风 2级
2021-07-11,星期日,32,22,小雨,南风3级
2021-07-12,星期一,26,22,阴,东北风3级
2021-07-13,星期二,30,24,晴,西北风2级
2021-07-14,星期三,32,25,晴,东风2级
2021-07-15,星期四,32,25,晴,东风2级
2021-07-16,星期五,31,25,晴转小雨,东北风2级
2021-07-17,星期六,30,23,阴,东北风3级
2021-07-18,星期日,27,23,阴,北风2级
2021-07-19,星期一,30,24,阴,东南风2级
2021-07-20,星期二,31,24,阴,东南风2级
2021-07-21,星期三,27,24,阴,东北风2级
2021-07-22,星期四,28,23,多云,西南风2级
2021-07-23,星期五,31,22,阴,西南风2级
2021-07-24,星期六,32,24,多云,西南风2级
2021-07-25,星期日,33,25,多云,西南风3级
2021-07-26,星期一,32,25,阴,西南风2级
